# tragedy-of-conventions deterministic conditional-cooperation sweep
# a=2.0, c=0.3, beta=1.0, trials=10000, start=trapped_B(2.0)
# landmarks: optimistic=0.3030 theta_hat=0.4532 solo=0.7692
# theta,interdependent,independent
0.020000,0.157900,0.201300
0.050323,0.157900,0.201300
0.080645,0.157900,0.201300
0.110968,0.157900,0.201300
0.141290,0.157900,0.201300
0.171613,0.157900,0.201300
0.201935,0.157900,0.201300
0.232258,0.157900,0.201300
0.262581,0.157900,0.201300
0.292903,0.157900,0.201300
0.323226,0.155200,0.184500
0.353548,0.147700,0.161400
0.383871,0.138500,0.145200
0.414194,0.125900,0.128100
0.444516,0.110300,0.110300
0.474839,0.093800,0.093800
0.505161,0.080300,0.080300
0.535484,0.069000,0.069000
0.565806,0.059400,0.059400
0.596129,0.049400,0.049400
0.626452,0.040800,0.040800
0.656774,0.035200,0.035200
0.687097,0.027500,0.027500
0.717419,0.021300,0.021300
0.747742,0.016400,0.016400
0.778065,0.012200,0.012200
0.808387,0.008100,0.008100
0.838710,0.005500,0.005500
0.869032,0.003900,0.003900
0.899355,0.002400,0.002400
0.929677,0.001000,0.001000
0.960000,0.000300,0.000300
